Date,Crop,Quantity Sold (kg),Price per kg (₹),Revenue (₹)
2021-01-01,Rice,1260,31.95,40257.0
2021-01-01,Wheat,1284,22.76,29223.84
2021-01-01,Corn,1170,19.91,23294.7
2021-01-01,Millet,1058,18.59,19668.22
2021-01-01,Soybean,1419,49.13,69715.47
2021-01-01,Rapeseed,533,55.37,29512.21
2021-01-01,Peanut,1445,56.9,82220.5
2021-01-01,Sorghum,622,21.81,13565.82
2021-01-01,Barley,1070,28.16,30131.2
2021-01-02,Rice,1126,29.93,33701.18
2021-01-02,Wheat,2097,25.68,53850.96
2021-01-02,Corn,1137,21.05,23933.85
2021-01-02,Millet,1380,17.05,23529.0
2021-01-02,Soybean,1455,50.98,74175.9
2021-01-02,Rapeseed,1034,56.14,58048.76
2021-01-02,Peanut,1480,54.57,80763.6
2021-01-02,Sorghum,602,19.71,11865.42
2021-01-02,Barley,861,29.87,25718.07
2021-01-03,Rice,746,28.69,21402.74
2021-01-03,Wheat,1687,24.7,41668.9
2021-01-03,Corn,1056,22.51,23770.56
2021-01-03,Millet,872,17.06,14876.32
2021-01-03,Soybean,1368,54.18,74118.24
2021-01-03,Rapeseed,1289,58.49,75393.61
2021-01-03,Peanut,859,58.79,50500.61
2021-01-03,Sorghum,523,18.91,9889.93
2021-01-03,Barley,521,29.81,15531.01
2021-01-04,Rice,1340,32.94,44139.6
2021-01-04,Wheat,1852,23.69,43873.88
2021-01-04,Corn,1419,23.44,33261.36
2021-01-04,Millet,1202,17.54,21083.08
2021-01-04,Soybean,1293,45.14,58366.02
2021-01-04,Rapeseed,510,59.16,30171.6
2021-01-04,Peanut,1067,64.04,68330.68
2021-01-04,Sorghum,802,19.53,15663.06
2021-01-04,Barley,1259,29.64,37316.76
2021-01-05,Rice,521,31.02,16161.42
2021-01-05,Wheat,1807,25.53,46132.71
2021-01-05,Corn,1227,21.09,25877.43
2021-01-05,Millet,1254,16.64,20866.56
2021-01-05,Soybean,1416,48.87,69199.92
2021-01-05,Rapeseed,1100,52.85,58135.0
